timestamp,latency_ms
1747578175628,10396
1747578175679,10345
1747578175730,11225
1747578175781,11175
1747578175832,10192
1747578175883,10143
1747578175933,10093
1747578175984,10040
1747578176035,9992
1747578176086,9938
1747578176137,10818
1747578176187,10768
1747578176239,10716
1747578176290,10670
1747578176341,9685
1747578176392,10563
1747578176443,10512
1747578176494,11263
1747578176545,11211
1747578176595,12122
1747578176647,11109
1747578176697,11060
1747578176748,11008
1747578176800,11922
1747578176850,10907
1747578176902,11820
1747578176953,11769
1747578177004,10753
1747578177055,11667
1747578177106,9849
1747578177157,10599
1747578177208,11511
1747578177258,10498
1747578177310,10447
1747578177361,11356
1747578177410,11308
1747578177462,13157
1747578177513,12159
1747578177564,13061
1747578177615,12998
1747578177666,12953
1747578177717,11958
1747578177769,11906
1747578177820,11852
1747578177870,12747
1747578177922,10795
1747578177972,11700
1747578178024,11648
1747578178075,11596
1747578178125,12488
1747578178177,11495
1747578178228,11444
1747578178279,10438
1747578178330,11342
1747578178386,12227
1747578178437,13161
1747578178488,13120
1747578178539,13059
1747578178590,13013
1747578178641,11972
1747578178691,11922
1747578178744,13912
1747578178794,13862
1747578178846,13810
1747578178897,12702
1747578178948,12651
1747578178999,13657
1747578179049,13607
1747578179100,12498
1747578179152,12446
1747578179202,12396
1747578179254,12344
1747578179304,11309
1747578179356,13300
1747578179407,14235
1747578179458,14184
1747578179509,14133
1747578179560,14083
1747578179611,13046
1747578179662,14823
1747578179713,13932
1747578179764,13878
1747578179815,13827
1747578179866,12795
1747578179917,12739
1747578179968,12688
1747578180018,13627
1747578180070,14415
1747578180120,13525
1747578180172,13470
1747578180222,15186
1747578180274,15157
1747578180325,14160
1747578180376,15032
1747578180426,14059
1747578180478,14929
1747578180529,13956
1747578180580,13900
1747578180631,14776
1747578180682,13803
1747578180734,13751
1747578180786,15589
1747578180837,14570
1747578180888,13597
1747578180938,13547
1747578180990,14417
1747578181040,14375
1747578181091,14317
1747578181142,15233
1747578181193,14215
1747578181244,16082
1747578181295,16031
1747578181346,15029
1747578181396,14990
1747578181448,15878
1747578181498,14877
1747578181551,15775
1747578181601,14774
1747578181652,15674
1747578181704,14682
1747578181755,14631
1747578181805,14581
1747578181857,15479
1747578181908,16331
1747578181959,14416
1747578182010,15316
1747578182060,15266
1747578182112,15214
1747578182163,15163
1747578182212,16028
1747578182264,16961
1747578182314,15925
1747578182366,15873
1747578182417,15823
1747578182468,16757
1747578182519,15720
1747578182570,16655
1747578182621,15617
1747578182671,15569
1747578182723,16501
1747578182773,16453
1747578182824,16401
1747578182876,16351
1747578182926,15314
1747578182977,16249
1747578183029,16198
1747578183080,15160
1747578183138,16087
1747578183189,17034
1747578183240,16984
1747578183290,18037
1747578183342,16881
1747578183393,17934
1747578183444,17883
1747578183495,17824
1747578183545,17782
1747578183597,17730
1747578183649,16574
1747578183700,16523
1747578183751,16472
1747578183801,16422
1747578183853,16370
1747578183904,17423
1747578183955,17372
1747578184006,16218
1747578184058,17269
1747578184108,16115
1747578184160,19098
1747578184210,18049
1747578184261,17066
1747578184313,18955
1747578184364,17895
1747578184415,17844
1747578184466,17792
1747578184517,17744
1747578184568,17691
1747578184618,18640
1747578184670,18589
1747578184720,18538
1747578184771,17487
1747578184823,18435
1747578184874,17384
1747578184925,17333
1747578184976,17282
1747578185026,20206
1747578185076,20156
1747578185127,19101
1747578185178,18080
1747578185229,20004
1747578185280,17979
1747578185332,18895
1747578185383,18844
1747578185434,19804
1747578185484,18743
1747578185536,17732
1747578185587,17671
1747578185637,18590
1747578185688,19544
1747578185739,18489
1747578185791,18436
1747578185842,18385
1747578185893,18334
1747578185944,18283
1747578185995,19237
1747578186045,19193
1747578186096,20043
1747578186147,20554
1747578186197,20506
1747578186249,19889
1747578186300,20402
1747578186351,19787
1747578186402,20299
1747578186452,19692
1747578186504,20198
1747578186555,19584
1747578186606,19532
1747578186657,18575
1747578186707,18531
1747578186758,19381
1747578186809,19329
1747578186859,19280
1747578186911,18321
1747578186963,19175
1747578187014,20638
1747578187064,20588
1747578187115,19587
1747578187167,19535
1747578187218,19484
1747578187268,20384
1747578187320,20332
1747578187371,20280
1747578187422,20230
1747578187473,20179
1747578187524,20128
1747578187574,19128
1747578187626,20904
1747578187677,19975
1747578187728,18973
1747578187778,19887
1747578187828,21660
1747578187879,20651
1747578187930,20601
1747578187982,21505
1747578188033,20497
1747578188083,21404
1747578188135,21353
1747578188186,21302
1747578188236,21257
1747578188287,21206
1747578188338,21150
1747578188390,20146
1747578188441,20090
1747578188492,20039
1747578188542,19993
1747578188594,19936
1747578188645,20848
1747578188696,19834
1747578188747,22511
1747578188798,21677
1747578188849,22410
1747578188901,20586
1747578188951,21524
1747578189003,21476
1747578189054,21421
1747578189104,21371
1747578189156,22117
1747578189208,22050
1747578189258,21217
1747578189310,21165
1747578189361,21113
1747578189412,21063
1747578189463,21803
1747578189514,21752
1747578189565,21701
1747578189616,21643
1747578189667,20808
1747578189717,22421
1747578189767,21491
1747578189819,21439
1747578189869,22269
1747578189921,22217
1747578189972,22166
1747578190023,23143
1747578190073,23087
1747578190125,23035
1747578190175,22990
1747578190227,21911
1747578190277,22883
1747578190329,21808
1747578190380,21758
1747578190431,21707
1747578190481,22685
1747578190533,21605
1747578190584,21555
1747578190634,22526
1747578190685,23160
1747578190736,23108
1747578190787,23057
1747578190838,23015
1747578190889,23877
1747578190939,22906
1747578190991,22852
1747578191042,23724
1747578191093,22760
1747578191144,22016
1747578191195,23571
1747578191246,21914
1747578191297,23469
1747578191348,22496
1747578191398,21762
1747578191449,22396
1747578191499,23267
1747578191551,22294
1747578191602,23164
1747578191656,24828
1747578191706,23060
1747578191757,23853
1747578191809,23801
1747578191860,23759
1747578191911,23699
1747578191962,23648
1747578192013,22752
1747578192063,24422
1747578192115,23505
1747578192166,22600
1747578192217,24268
1747578192267,22498
1747578192319,24166
1747578192370,23240
1747578192421,24072
1747578192471,23139
1747578192522,23963
1747578192573,23037
1747578192624,22986
1747578192675,23810
1747578192726,25665
1747578192776,24677
1747578192828,23657
1747578192879,24574
1747578192930,24523
1747578192981,24472
1747578193032,25373
1747578193083,23402
1747578193134,24314
1747578193185,24268
1747578193236,23249
1747578193287,24161
1747578193337,25054
1747578193389,25002
1747578193440,24008
1747578193491,23957
1747578193542,24849
1747578193593,23855
1747578193643,24748
1747578193694,25503
1747578193745,25449
1747578193796,24595
1747578193846,24545
1747578193898,25295
1747578193948,24449
1747578194000,26181
1747578194051,25142
1747578194102,25094
1747578194153,25040
1747578194204,24992
1747578194254,24943
1747578194305,24086
1747578194356,24841
1747578194407,25773
1747578194458,24738
1747578194508,26006
1747578194559,25622
1747578194610,25904
1747578194660,25521
1747578194712,25802
1747578194763,25419
1747578194814,25698
1747578194865,25650
1747578194916,25598
1747578194966,25546
1747578195017,25497
1747578195068,25114
1747578195119,25065
1747578195171,25341
1747578195221,24960
1747578195273,24908
1747578195323,26212
1747578195375,24806
1747578195425,25090
1747578195476,26067
1747578195527,26602
1747578195578,26549
1747578195640,26487
1747578195691,26436
1747578195741,25802
1747578195792,25751
1747578195844,25699
1747578195894,26234
1747578195946,25589
1747578195996,25539
1747578196048,26080
1747578196099,25436
1747578196149,25978
1747578196200,25927
1747578196251,25284
1747578196303,25232
1747578196354,25773
1747578196404,27476
1747578196454,26410
1747578196506,26360
1747578196557,27322
1747578196608,25521
1747578196659,26205
1747578196710,27169
1747578196760,27120
1747578196812,26052
1747578196862,26002
1747578196913,25951
1747578196964,25900
1747578197015,26864
1747578197066,26814
1747578197116,25748
1747578197167,25700
1747578197219,25645
1747578197270,26609
1747578197321,26559
1747578197372,28148
1747578197423,27304
1747578197474,28046
1747578197524,27202
1747578197576,27150
1747578197627,27110
1747578197678,27847
1747578197728,26998
1747578197780,26100
1747578197831,26896
1747578197882,27638
1747578197933,26793
1747578197984,27536
1747578198034,26693
1747578198086,27435
1747578198137,26589
1747578198188,26539
1747578198239,25640
1747578198289,27232
1747578198340,27921
1747578198391,27134
1747578198441,28710
1747578198492,27769
1747578198544,27718
1747578198595,27666
1747578198646,27615
1747578198697,27564
1747578198748,27513
1747578198798,26722
1747578198850,28300
1747578198901,28250
1747578198952,27309
1747578199003,28148
1747578199053,27213
1747578199104,26416
1747578199156,28005
1747578199207,27054
1747578199257,28652
1747578199308,28606
1747578199359,29263
1747578199410,28500
1747578199460,28449
1747578199512,29109
1747578199562,28347
1747578199613,27538
1747578199665,28956
1747578199715,27446
1747578199766,28143
1747578199817,28092
1747578199867,28754
1747578199918,28707
1747578199970,27939
1747578200021,27889
1747578200072,27842
1747578200122,27031
1747578200173,26978
1747578200224,26927
1747578200274,30224
1747578200325,29155
1747578200375,29105
1747578200426,28196
1747578200477,28145
1747578200528,28094
1747578200579,28901
1747578200630,28850
1747578200680,27942
1747578200732,28748
1747578200782,28698
1747578200834,28646
1747578200884,29614
1747578200935,29562
1747578200987,29510
1747578201037,29460
1747578201089,28391
1747578201139,27483
1747578201191,29306
1747578201242,28239
1747578201293,28187
1747578201343,29154
1747578201394,29103
1747578201444,30940
1747578201496,29844
1747578201547,29794
1747578201598,29742
1747578201649,29692
1747578201699,29641
1747578201750,29591
1747578201802,30586
1747578201853,28645
1747578201904,29437
1747578201954,29392
1747578202006,30378
1747578202057,28441
1747578202108,29238
1747578202159,30224
1747578202210,30174
1747578202260,29081
1747578202311,30864
1747578202364,30811
1747578202414,30761
1747578202465,31376
1747578202515,31316
1747578202566,30609
1747578202617,31224
1747578202668,31173
1747578202719,30457
1747578202770,29614
1747578202820,29563
1747578202872,30303
1747578202922,30254
1747578202974,30201
1747578203025,29359
1747578203076,29308
1747578203127,29256
1747578203178,29998
1747578203229,29947
1747578203281,30560
1747578203332,30499
1747578203383,30448
1747578203434,31177
1747578203484,31120
1747578203536,31068
1747578203586,31838
1747578203638,30973
1747578203689,30922
1747578203740,30870
1747578203790,30821
1747578203841,30770
1747578203893,29938
1747578203943,29887
1747578203994,31430
1747578204046,31378
1747578204097,30514
1747578204149,29682
1747578204200,30405
1747578204251,31173
1747578204302,32092
1747578204352,32556
1747578204404,32004
1747578204455,30969
1747578204506,30918
1747578204556,32352
1747578204607,31788
1747578204659,32249
1747578204710,31685
1747578204761,31633
1747578204812,30612
1747578204862,31546
1747578204913,31481
1747578204964,31430
1747578205015,30409
1747578205066,30358
1747578205117,31287
1747578205168,31225
1747578205219,30205
1747578205274,31634
1747578205325,33435
1747578205376,31526
1747578205427,32339
1747578205478,31424
1747578205529,32236
1747578205580,32188
1747578205631,32136
1747578205682,31220
1747578205733,31175
1747578205784,31984
1747578205835,31931
1747578205886,31022
1747578205936,31831
1747578205988,31778
1747578206039,30863
1747578206090,31675
1747578206141,32620
1747578206191,32569
1747578206243,32517
1747578206294,33486
1747578206344,32416
1747578206396,32365
1747578206446,32319
1747578206497,33283
1747578206549,32211
1747578206600,32161
1747578206651,32109
1747578206701,31064
1747578206752,33028
1747578206802,33936
1747578206853,33880
1747578206905,33828
1747578206956,33779
1747578207007,33724
1747578207057,32724
1747578207109,32672
1747578207160,32621
1747578207211,33521
1747578207262,32518
1747578207313,33420
1747578207364,33368
1747578207414,32366
1747578207466,32314
1747578207517,32264
1747578207567,33165
1747578207619,34044
1747578207669,33061
1747578207721,34982
1747578207772,34932
1747578207823,34880
1747578207874,33784
1747578207925,33732
1747578207976,33678
1747578208026,33632
1747578208077,34626
1747578208128,33530
1747578208179,34524
1747578208230,34473
1747578208281,34423
1747578208332,33326
1747578208383,34320
1747578208434,33224
1747578208484,33174
1747578208535,33123
1747578208585,35907
1747578208637,35856
1747578208688,34768
1747578208738,34718
1747578208790,35702
1747578208841,35653
1747578208891,33813
1747578208943,35550
1747578208994,34462
1747578209044,35451
1747578209095,34361
1747578209147,34309
1747578209198,35295
1747578209249,34207
1747578209300,34156
1747578209351,34105
1747578209402,33301
1747578209452,34005
1747578209504,33963
1747578209555,36626
1747578209606,35823
1747578209657,34838
1747578209708,36473
1747578209758,35670
1747578209809,35619
1747578209861,36320
1747578209912,35517
1747578209963,35467
1747578210014,36165
1747578210065,36116
1747578210116,36063
1747578210167,35261
1747578210217,35216
1747578210269,35160
1747578210319,35109
1747578210370,35058
1747578210422,34070
1747578210473,34022
1747578210524,36307
1747578210575,36256
1747578210626,36205
1747578210677,36156
1747578210728,36103
1747578210778,36895
1747578210830,36001
1747578210881,35298
1747578210932,35899
1747578210983,35850
1747578211034,35797
1747578211084,35097
1747578211136,35043
1747578211187,34994
1747578211238,35593
1747578211294,37175
1747578211345,36323
1747578211396,37073
1747578211447,36228
1747578211498,36971
1747578211548,36130
1747578211599,36075
1747578211650,36820
1747578211700,35974
1747578211751,36718
1747578211802,35871
1747578211853,35822
1747578211903,35771
1747578211955,36514
1747578212005,36475
1747578212057,35617
1747578212109,36361
1747578212160,37890
1747578212211,37839
1747578212262,37792
1747578212313,37737
1747578212364,37686
1747578212415,36815
1747578212466,37584
1747578212517,36713
1747578212568,35901
1747578212619,37431
1747578212669,36561
1747578212721,36509
1747578212771,35699
1747578212823,36407
1747578212874,36356
1747578212925,36304
1747578212976,36257
1747578213026,36203
1747578213078,36151
1747578213129,36926
1747578213181,36869
1747578213232,37832
1747578213283,37781
1747578213334,37732
1747578213384,37680
1747578213436,37628
1747578213487,37577
1747578213537,37527
1747578213589,36466
1747578213640,38371
1747578213691,38317
1747578213742,37322
1747578213793,37271
1747578213844,37220
1747578213894,38117
1747578213945,38063
1747578213996,38865
1747578214046,37963
1747578214097,37913
1747578214148,37862
1747578214199,38662
1747578214250,37759
1747578214301,38566
1747578214352,38509
1747578214403,38458
1747578214454,38408
1747578214505,38361
1747578214556,38306
1747578214606,38255
1747578214657,37352
1747578214708,37300
1747578214759,38110
1747578214810,39100
1747578214861,39049
1747578214912,38998
1747578214963,40066
1747578215014,38896
1747578215065,38846
1747578215116,38794
1747578215167,39862
1747578215218,38692
1747578215269,38648
1747578215320,38590
1747578215371,39666
1747578215422,39607
1747578215473,39564
1747578215524,39513
1747578215575,38335
1747578215626,39411
1747578215676,41068
1747578215727,40214
1747578215778,39259
1747578215829,39208
1747578215880,40064
1747578215931,40011
1747578215982,39960
1747578216033,39908
1747578216084,38945
1747578216135,39806
1747578216186,39756
1747578216237,39704
1747578216288,40457
1747578216339,40406
1747578216390,39552
1747578216441,39500
1747578216491,40254
1747578216542,42164
1747578216593,40153
1747578216644,41202
1747578216695,40049
1747578216746,39999
1747578216797,41048
1747578216848,39897
1747578216899,39847
1747578216950,40895
1747578217001,41705
1747578217052,40793
1747578217103,40742
1747578217154,40692
1747578217205,40640
1747578217256,40588
1747578217307,40554
1747578217358,39387
1747578217409,41297
1747578217460,40385
1747578217511,41204
1747578217562,41144
1747578217613,41880
1747578217664,41829
1747578217715,41000
1747578217766,41726
1747578217817,41677
1747578217868,41625
1747578217919,42362
1747578217970,41523
1747578218021,40685
1747578218072,41421
1747578218123,41380
1747578218174,41320
1747578218225,40481
1747578218276,41217
1747578218327,40379
1747578218378,40330
1747578218430,41851
1747578218481,41800
1747578218532,42777
1747578218583,42725
1747578218634,41647
1747578218685,42624
1747578218736,42572
1747578218787,41495
1747578218838,41443
1747578218889,42420
1747578218940,41344
1747578218991,41292
1747578219042,11
1747578219093,41188
1747578219144,1
1747578219194,41087
1747578219245,42064
1747578219296,42803
1747578219347,42752
1747578219398,41923
1747578219449,42650
1747578219500,41809
1747578219551,42550
1747578219602,41707
1747578219653,1
1747578219704,3
1747578219755,1
1747578219807,1
1747578219858,3
1747578219909,1
1747578219960,1
1747578220011,2
1747578220062,2
1747578220113,4
1747578220164,41144
1747578220215,41883
1747578220266,41833
1747578220317,41781
1747578220368,41730
1747578220419,42447
1747578220470,41629
1747578220520,41578
1747578220571,42295
1747578220622,42244
1747578220673,42193
1747578220724,42141
1747578220775,43108
1747578220826,42040
1747578220877,43006
1747578220927,42959
1747578220977,42906
1747578221028,41838
1747578221079,41786
1747578221130,42756
1747578221181,2
1747578221232,4
1747578221283,1
1747578221334,41531
1747578221385,6
1747578221436,1
1747578221487,1
1747578221538,41328
1747578221589,43439
1747578221640,43388
1747578221691,42192
1747578221742,42141
1747578221793,43234
1747578221844,43183
1747578221895,41988
1747578221946,41938
1747578221997,1
1747578222048,41836
1747578222098,1
1747578222150,42878
1747578222201,42826
1747578222252,43398
1747578222303,42725
1747578222354,42680
1747578222405,43245
1747578222456,42572
1747578222507,42521
1747578222558,43092
1747578222609,1
1747578222660,1
1747578222711,1
1747578222762,4
1747578222816,42833
1747578222867,42784
1747578222918,43813
1747578222969,42680
1747578223020,43708
1747578223071,42580
1747578223122,43606
1747578223173,42476
1747578223224,42427
1747578223275,42376
1747578223326,2
1747578223377,1
1747578223428,2
1747578223479,1
1747578223530,2
1747578223581,4
1747578223632,2
1747578223683,2
1747578223734,1
1747578223785,2
1747578223837,2
1747578223888,42839
1747578223939,43641
1747578223990,42737
1747578224041,42688
1747578224092,43491
1747578224143,42584
1747578224194,42534
1747578224245,42482
1747578224296,42431
1747578224347,43233
1747578224398,1
1747578224449,1
1747578224500,1
1747578224552,1
1747578224603,42977
1747578224654,3
1747578224705,42874
1747578224756,43627
1747578224807,43576
